name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Grand Rapids, Michigan",2019-08-15,72,60.2,65.3,72,60.2,65.3,58.1,78.1,0.561,100,33.33,rain,0,0,19.7,13,37.8,1015.5,69.2,9.3,68.3,6,5,,2019-08-15T06:48:23,2019-08-15T20:45:16,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2019-08-16,81.9,56.2,68,81.8,56.2,68,58.9,75.5,0,0,0,,0,0,19.7,11.9,158.9,1014,62.2,6.7,134.9,11.6,8,,2019-08-16T06:49:28,2019-08-16T20:43:46,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,E7706,C1502,KGRR"
"Grand Rapids, Michigan",2019-08-17,84.5,63.8,74.6,83.8,63.8,74.5,61.3,65.9,0.466,100,8.33,rain,0,0,19.6,13.4,243.7,1012.1,41.7,9.5,155.6,13.3,8,,2019-08-17T06:50:33,2019-08-17T20:42:15,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72635094860,KY70,KBIV,72539404839,E7706,C1502,KGRR"
"Grand Rapids, Michigan",2019-08-18,82.8,66,72.3,85.5,66,72.5,66,81.6,0.24,100,25,rain,0,0,30.5,19.2,208.6,1010.7,51.2,8.8,99.6,8.6,7,,2019-08-18T06:51:38,2019-08-18T20:40:43,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72635094860,KY70,KBIV,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2020-08-13,84.9,60.1,73.5,84.6,60.1,73.4,59.7,65.9,0,0,0,,0,0,,10.1,109.5,1019.6,26.5,9.9,182.6,15.9,8,,2020-08-13T06:47:02,2020-08-13T20:47:06,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,USW00094860,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2020-08-14,88,63.9,75.4,88.3,63.9,75.7,63.1,68.5,0,0,0,,0,0,17.2,12.3,73.9,1016.8,15.1,9.9,192.6,16.5,7,,2020-08-14T06:48:07,2020-08-14T20:45:38,0.86,Clear,Clear conditions throughout the day.,clear-day,"72635094860,KY70,KBIV,USW00094860,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2020-08-15,83.9,64.9,74.9,86,64.9,75.8,67.1,78,0.029,100,8.33,rain,0,0,,10,80.2,1013.9,23.1,9.6,141.3,12.2,5,,2020-08-15T06:49:13,2020-08-15T20:44:08,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72635094860,KY70,KBIV,USW00094860,72539404839,D1688,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2020-08-16,82.7,66.9,74.3,81.5,66.9,74.1,60.4,65.3,0,0,0,,0,0,20.8,13.3,325.8,1014.2,26.4,9.9,198.7,17.1,8,,2020-08-16T06:50:18,2020-08-16T20:42:38,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,USW00094860,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2020-08-17,82,62,71.8,81.6,62,71.8,57.6,63.9,0.003,100,4.17,rain,0,0,26.4,15.6,297.6,1014.8,29.4,9.9,159.2,13.7,7,,2020-08-17T06:51:23,2020-08-17T20:41:06,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72635094860,KY70,KBIV,USW00094860,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2020-08-18,78.7,56.2,67.6,78.7,56.2,67.6,50.7,57.1,0,0,0,,0,0,23,16.2,346.4,1016.8,23.2,9.9,144.9,12.6,5,,2020-08-18T06:52:28,2020-08-18T20:39:34,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,USW00094860,72539404839,D1688,E7706,KGRR"
"Grand Rapids, Michigan",2021-08-13,79.9,66.5,74.9,79.9,66.5,74.9,61.5,66.6,0,0,0,,0,0,21.9,12.2,280,1016.9,38.7,9.8,158.5,13.7,7,,2021-08-13T06:46:47,2021-08-13T20:47:28,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2021-08-14,78.1,55.8,68.4,78.1,55.8,68.4,52.3,59.6,0,0,0,,0,0,21.9,8.8,9.1,1024,16.5,9.9,191.1,16.4,9,,2021-08-14T06:47:52,2021-08-14T20:46:00,0.22,Clear,Clear conditions throughout the day.,clear-day,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2021-08-15,78.9,54.8,67.4,78.9,54.8,67.4,54.8,67.6,0,0,0,,0,0,,8.8,113.4,1024.1,14.3,9.9,178.6,15.4,9,,2021-08-15T06:48:57,2021-08-15T20:44:31,0.25,Clear,Clear conditions throughout the day.,clear-day,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2021-08-16,76.1,56.8,67.2,76.1,56.8,67.2,57.1,72.5,0,0,0,,0,0,,9.1,90.8,1020.1,21,9.9,164.3,14.2,8,,2021-08-16T06:50:03,2021-08-16T20:43:01,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2021-08-17,82.1,62.7,72,84.1,62.7,72.5,64.6,78.9,0,0,0,,0,0,,10,135.3,1017.8,28.5,8.9,107.5,9.2,5,,2021-08-17T06:51:08,2021-08-17T20:41:29,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2021-08-18,84.8,65.7,74.8,88.5,65.7,75.9,67.5,79.6,0,0,0,,0,0,,6.8,75.6,1019.2,34.8,9,96.3,8.2,6,,2021-08-18T06:52:13,2021-08-18T20:39:57,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2022-08-13,61.6,56.1,58,61.6,56.1,58,54.6,88.7,1.693,100,79.17,rain,0,0,23,12.4,121,1020.7,50.1,7,8.4,0.7,0,,2022-08-13T06:46:32,2022-08-13T20:47:50,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2022-08-14,71,56.1,63.2,71,56.1,63.2,59.2,87.4,0.125,100,25,rain,0,0,20.4,13.4,85.8,1015.9,62.4,9.6,51.2,4.3,2,,2022-08-14T06:47:37,2022-08-14T20:46:22,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2022-08-15,78.7,59.4,69.2,78.7,59.4,69.2,57.9,69.9,0,0,0,,0,0,17.2,10.9,38.7,1017.4,36.5,9.9,156.3,13.4,7,,2022-08-15T06:48:42,2022-08-15T20:44:53,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2022-08-16,80.9,55.3,69.2,80.9,55.3,69.2,55.7,64.6,0,0,0,,0,0,18.3,13.2,49.5,1019.3,22.2,9.9,175.4,15.1,7,,2022-08-16T06:49:48,2022-08-16T20:43:23,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2022-08-17,81.6,57.9,69.7,80.9,57.9,69.7,56.9,66.7,0,0,0,,0,0,19.7,8.7,25.8,1019.6,15.6,9.9,176.9,15.5,8,,2022-08-17T06:50:53,2022-08-17T20:41:52,0.68,Clear,Clear conditions throughout the day.,clear-day,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2022-08-18,79.9,60,69.9,79.9,60,69.9,58.1,68.4,0,0,0,,0,0,19.2,11.1,244.3,1016.2,21.7,9.6,179,15.4,8,,2022-08-18T06:51:58,2022-08-18T20:40:20,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2023-08-13,76.8,61.2,69.1,76.8,61.2,69.1,60,74.4,0,0,0,,0,0,20.8,13.1,353.7,1014.8,50.3,9.8,148.5,13,7,,2023-08-13T06:46:17,2023-08-13T20:48:12,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2023-08-14,75,62.3,67.2,75,62.3,67.2,62.3,84.7,1.097,100,33.33,rain,0,0,29.9,18.5,62.4,1013.1,94.2,8.8,44.3,3.8,4,,2023-08-14T06:47:22,2023-08-14T20:46:44,0.94,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2023-08-15,75.5,62,66.3,75.5,62,66.3,59.5,80.5,0.37,100,41.67,rain,0,0,29,17.3,14.1,1011.6,86.4,7.8,106.5,9.3,7,,2023-08-15T06:48:27,2023-08-15T20:45:16,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2023-08-16,78.9,52.3,67.2,78.9,52.3,67.2,56.4,70.1,0,0,0,,0,0,21.9,13.3,235.6,1014.9,20.8,9.9,184,15.9,8,,2023-08-16T06:49:33,2023-08-16T20:43:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2023-08-17,74.8,61.1,66.6,74.8,61.1,66.6,58.6,76,0.496,100,25,rain,0,0,32,20.4,236.7,1006.4,64.4,9,116.3,10,8,,2023-08-17T06:50:38,2023-08-17T20:42:15,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2023-08-18,73.7,56.6,64.5,73.7,56.6,64.5,51.4,64.9,0,0,0,,0,0,24.9,17.1,300.7,1015,21.6,9.6,196.2,16.9,9,,2023-08-18T06:51:43,2023-08-18T20:40:43,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2024-08-13,81.9,58.8,71.1,81.6,58.8,71.1,59,68.9,0,0,0,,0,0,11,7.1,298.1,1019.9,23.2,9.1,199.4,17.2,9,,2024-08-13T06:47:07,2024-08-13T20:47:06,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
